Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUM1014_S22_R1_001amrf_output,NA,NODE_5498_length_3034_cov_10.889896,349,2265,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM1014_S22_R1_001amrf_output,NA,NODE_5942_length_2872_cov_5.491303,1548,2870,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,441,639,69.01,99.55,441,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM1014_S22_R1_001amrf_output,NA,NODE_8378_length_2234_cov_38.088114,66,1982,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_120934_length_335_cov_1.464286,3,335,+,catA1,type A-1 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,PARTIAL_CONTIG_ENDX,111,219,50.68,100,111,WP_000412211.1,type A-1 chloramphenicol O-acetyltransferase,NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_14776_length_1241_cov_5.690556,1,810,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,270,321,84.11,99.63,270,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_15048_length_1226_cov_13.426132,2,1063,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,354,406,87.19,99.15,354,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_3174_length_3539_cov_24.822044,1547,3469,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,97.35,641,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_3270_length_3460_cov_10.582673,83,1999,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.84,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_39810_length_656_cov_22.968386,106,597,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_4521_length_2746_cov_14.386473,82,1998,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO546_S16_R1_001amrf_output,NA,NODE_8010_length_1860_cov_14.110803,3,1415,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,471,639,73.71,100,471,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_10660_length_1715_cov_40.287349,9,1715,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,569,639,89.05,100,569,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_11146_length_1668_cov_72.492870,1,1668,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,96.94,556,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_13340_length_1501_cov_8.410788,68,1285,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.75,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_1409_length_5380_cov_6.400000,779,1246,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_14405_length_1433_cov_5.466618,783,1433,+,tet(B),tetracycline efflux MFS transporter Tet(B),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,217,401,54.11,100,217,WP_001089068.1,tetracycline efflux MFS transporter Tet(B),NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_18311_length_1233_cov_2.074703,463,1233,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,257,278,92.45,100,257,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_23783_length_1046_cov_4.156408,2,619,-,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,206,286,72.03,100,206,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_31867_length_869_cov_2.409091,3,653,-,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,PARTIAL_CONTIG_ENDX,217,279,77.78,100,217,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_31867_length_869_cov_2.409091,650,868,-,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,73,115,63.48,100,73,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_41039_length_736_cov_3.694567,206,580,-,qacH,quaternary ammonium compound efflux SMR transporter QacH,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,EXACTX,125,125,100,100,125,WP_000121134.1,quaternary ammonium compound efflux SMR transporter QacH,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_493_length_9341_cov_26.198794,8237,9199,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_62534_length_565_cov_3.407843,144,563,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,140,263,53.23,100,140,WP_001206316.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUMO581_S18_R1_001amrf_output,NA,NODE_8637_length_1928_cov_16.246663,127,1926,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,100,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_10503_length_1577_cov_51.844941,3,1577,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,98.86,525,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_11440_length_1487_cov_8.274441,2,1405,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,468,639,73.24,99.15,468,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_359384_length_213_cov_2.360759,33,212,+,qacE,quaternary ammonium compound efflux SMR transporter QacE,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,PARTIAL_CONTIG_ENDX,60,115,52.17,100,60,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_48536_length_584_cov_2.258979,3,365,-,dfrA7,trimethoprim-resistant dihydrofolate reductase DfrA7,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,121,157,77.07,100,121,WP_000703418.1,trimethoprim-resistant dihydrofolate reductase DfrA7,NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_6167_length_2314_cov_4.734396,420,911,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_6556_length_2216_cov_2.957427,217,1434,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,INTERNAL_STOP,406,406,100,99.26,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_7862_length_1944_cov_19.106935,20,1936,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO587_S20_R1_001amrf_output,NA,NODE_9231_length_1731_cov_21.985084,327,1730,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,468,639,73.24,99.57,468,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_11063_length_1842_cov_5.211528,2,796,-,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,BLASTX,265,288,92.01,100,265,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_1810_length_6727_cov_24.747752,5021,6727,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,569,639,89.05,100,569,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_32340_length_777_cov_3.012465,73,777,+,tetA(P),tetracycline efflux MFS transporter TetA(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,235,420,55.95,97.45,235,WP_006440994.1,tetracycline efflux MFS transporter TetA(P),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_6583_length_2797_cov_32.487236,128,1207,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.61,360,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_6624_length_2782_cov_9.551889,1693,2184,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_7685_length_2491_cov_18.384236,277,2199,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,98.91,641,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_7728_length_2481_cov_86.298434,270,2186,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.06,639,WP_014636291.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_882_length_10823_cov_7.086181,9941,10822,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,294,321,91.59,100,294,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO609_S56_R1_001amrf_output,NA,NODE_9837_length_2027_cov_15.383367,127,2025,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,633,639,99.06,100,633,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_11143_length_1572_cov_135.609097,1,1572,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,524,641,81.75,98.47,524,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_12944_length_1387_cov_4.708709,2,1306,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,435,639,68.08,100,435,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_15619_length_1187_cov_3.715548,529,1185,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,219,406,53.94,99.54,219,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_17361_length_1091_cov_12.865830,59,1018,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.06,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_48377_length_502_cov_1.109620,40,501,+,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,154,286,53.85,99.35,154,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_5647_length_2803_cov_8.473435,343,2259,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.37,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_7802_length_2139_cov_2.978887,1402,1893,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO624_S22_R1_001amrf_output,NA,NODE_8263_length_2038_cov_31.387796,81,1997,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_11488_length_1577_cov_220.603154,3,1577,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,98.67,525,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_1193_length_7620_cov_11.829874,2282,3361,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_1193_length_7620_cov_11.829874,5439,7355,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_46189_length_584_cov_4.676749,2,436,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,145,164,88.41,100,145,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_7885_length_2074_cov_25.156018,150,2066,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_8020_length_2053_cov_9.558559,3,1772,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,590,639,92.33,100,590,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO668_S24_R1_001amrf_output,NA,NODE_9811_length_1771_cov_3.468531,2,1438,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,479,639,74.96,99.37,479,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_19987_length_887_cov_15.932692,291,782,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_22174_length_822_cov_4.142112,1,774,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,258,406,63.55,98.45,258,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_3969_length_3300_cov_13.007088,1052,2968,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.37,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_5963_length_2316_cov_7.268465,82,1998,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_7693_length_1878_cov_10.190346,81,1877,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,599,639,93.74,100,599,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_8165_length_1790_cov_163.016138,3,1790,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,596,641,92.98,99.33,596,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO678_S60_R1_001amrf_output,NA,NODE_890_length_9459_cov_8.079647,1,921,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,307,321,95.64,99.35,307,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_111522_length_340_cov_2.214035,1,339,-,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,113,157,71.97,100,113,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_1656_length_5548_cov_28.305116,647,1606,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.06,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_2326_length_4395_cov_9.556682,969,2885,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.22,639,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_33719_length_701_cov_2.402477,2,586,+,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,195,286,68.18,100,195,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_37480_length_655_cov_23.401667,104,571,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,BLASTX,156,164,95.12,100,156,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_38049_length_650_cov_1.591597,64,408,-,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_449_length_13102_cov_9.077029,3,923,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,307,321,95.64,99.67,307,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_46420_length_575_cov_3.692308,10,573,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,188,267,70.41,98.4,188,WP_001082319.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_56718_length_509_cov_3.002203,2,508,-,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,169,278,60.79,100,169,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_6888_length_2021_cov_9.383520,68,1285,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,406,406,100,99.26,406,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_7636_length_1878_cov_15.775096,81,1877,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,599,639,93.74,99.5,599,WP_050618045.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_77232_length_422_cov_2.425068,2,400,-,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,133,262,50.76,100,133,WP_001206315.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUMO681_S26_R1_001amrf_output,NA,NODE_9057_length_1668_cov_79.481711,1,1668,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,98.38,556,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO749_S28_R1_001amrf_output,NA,NODE_10375_length_1715_cov_106.887952,9,1715,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,569,639,89.05,100,569,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUMO749_S28_R1_001amrf_output,NA,NODE_10628_length_1693_cov_56.489011,20,1693,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,558,641,87.05,99.64,558,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUMO749_S28_R1_001amrf_output,NA,NODE_14463_length_1446_cov_3.859094,217,1296,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,99.17,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUMO749_S28_R1_001amrf_output,NA,NODE_14977_length_1421_cov_3.469985,778,1419,+,tetA(P),tetracycline efflux MFS transporter TetA(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,214,420,50.95,100,214,WP_006440994.1,tetracycline efflux MFS transporter TetA(P),NA,NA
HUMO749_S28_R1_001amrf_output,NA,NODE_15653_length_1386_cov_51.339594,45,1004,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
